File path,Live URL path,Page type,Title,H1,Meta description,Word count,FAQ count,Image status,In sitemap,Linked from homepage,Linked from header,Linked from footer,Linked from parent hub page,Reachable from homepage within 3 clicks,Broken internal links,Notes
17-4ph-stainless-steel/index.html,/17-4ph-stainless-steel/,core,17-4PH Stainless Steel Enquiry Page | Bharat Metals Chennai,17-4PH Stainless Steel Enquiry Page,"17-4PH Stainless Steel enquiries can be reviewed by Bharat Metals from Chennai based on specification, quantity, sourceability and current availability.",854,6,real image,yes,no,no,no,no,yes,0,
2b-finish-stainless-steel-sheets-chennai/index.html,/2b-finish-stainless-steel-sheets-chennai/,core,2B Finish Stainless Steel Sheets in Chennai | Bharat Metals,2B Finish Stainless Steel Sheets in Chennai,"2B Finish Stainless Steel Sheets in Chennai enquiry support for Chennai and Tamil Nadu buyers. Share grade, size, finish expectation, quantity and delivery location.",914,6,real image,yes,no,no,no,no,yes,0,
about-us/index.html,/about-us/,core,About Bharat Metals | Stainless Steel Dealers in Chennai Since 1986,About Bharat Metals,"Learn about Bharat Metals, a Chennai-based stainless steel stockist, supplier, dealer and wholesaler established in 1986, serving stainless steel buyers across Tamil Nadu and nearby South India markets.",1735,10,real image,yes,yes,yes,yes,yes,yes,0,
aluminium-bars/index.html,/aluminium-bars/,secondary material,Aluminium Bars in Chennai | Bharat Metals,Aluminium Bars Suppliers in Chennai,"Aluminium bars suppliers in Chennai for commercial, fabrication, engineering and trading enquiries.",620,5,real image,yes,yes,yes,no,yes,yes,0,
aluminium-coils/index.html,/aluminium-coils/,secondary material,Aluminium Coils in Chennai | Bharat Metals,Aluminium Coils Suppliers in Chennai,"Aluminium coils suppliers in Chennai for commercial, fabrication, engineering and trading enquiries.",620,5,real image,yes,yes,yes,no,yes,yes,0,
aluminium-flats/index.html,/aluminium-flats/,secondary material,Aluminium Flats in Chennai | Bharat Metals,Aluminium Flats Suppliers in Chennai,"Aluminium flats suppliers in Chennai for commercial, fabrication, engineering and trading enquiries.",620,5,real image,yes,yes,yes,no,yes,yes,0,
aluminium-pipes/index.html,/aluminium-pipes/,secondary material,Aluminium Pipes in Chennai | Bharat Metals,Aluminium Pipes Suppliers in Chennai,"Aluminium pipes suppliers in Chennai for commercial, fabrication, engineering and trading enquiries.",620,5,real image,yes,yes,yes,no,yes,yes,0,
aluminium-plates/index.html,/aluminium-plates/,secondary material,Aluminium Plates in Chennai | Bharat Metals,Aluminium Plates Suppliers in Chennai,"Aluminium plates suppliers in Chennai for commercial, fabrication, engineering and trading enquiries.",620,5,real image,yes,yes,yes,no,yes,yes,0,
aluminium-rods/index.html,/aluminium-rods/,secondary material,Aluminium Rods in Chennai | Bharat Metals,Aluminium Rods Suppliers in Chennai,"Aluminium rods suppliers in Chennai for commercial, fabrication, engineering and trading enquiries.",620,5,real image,yes,yes,yes,no,yes,yes,0,
aluminium-sheets/index.html,/aluminium-sheets/,secondary material,Aluminium Sheets in Chennai | Bharat Metals,Aluminium Sheets Suppliers in Chennai,"Aluminium sheets suppliers in Chennai for commercial, fabrication, engineering and trading enquiries.",620,5,real image,yes,yes,yes,no,yes,yes,0,
